,Category,Group,Median Comp. 1,MAD Comp. 1,Median Comp. 2,MAD Comp. 2,Median Comp. 3,MAD Comp. 3,Median Comp. 4,MAD Comp. 4,Median Comp. 5,MAD Comp. 5
Religion: Orthodox,Religion,Orthodox,0.12775976955890656,0.6919175982475281,0.052944932132959366,0.8422650694847107,0.32718783617019653,0.879540741443634,0.2558515667915344,0.6405075788497925,0.20467346906661987,0.7259647250175476
Religion: Protestant,Religion,Protestant,0.024363940581679344,0.613437831401825,-0.05528644844889641,0.6880114078521729,-0.041258666664361954,0.6420894861221313,-0.03833523020148277,0.6663849353790283,0.00941494107246399,0.7618781328201294
Religion: Something else,Religion,Something else,-0.0020031204912811518,0.6244294047355652,-0.02783833257853985,0.6700377464294434,-0.0718320682644844,0.6344068050384521,-0.07154907286167145,0.6564781069755554,0.041232507675886154,0.7620964646339417
Religiosity: Charismatic/Pentecostal,Religiosity,Charismatic/Pentecostal,0.11995437741279602,0.677783727645874,-0.019846275448799133,0.7176369428634644,-0.0422920361161232,0.6431228518486023,0.0785551592707634,0.6596225500106812,0.11606492847204208,0.7793676853179932
Religiosity: Mainline,Religiosity,Mainline,-0.09616932272911072,0.43305066227912903,-0.06929156184196472,0.5023535490036011,-0.1707414984703064,0.4976505637168884,-0.33723464608192444,0.6216875910758972,-0.029863489791750908,0.6581236720085144
Religiosity: Non-traditional believer,Religiosity,Non-traditional believer,0.0928257554769516,0.7601591944694519,-0.0008830404258333147,0.7307730913162231,-0.00889589823782444,0.731707751750946,0.010731054469943047,0.780755341053009,0.15363867580890656,0.8826165795326233
Religiosity: None,Religiosity,None,-0.10182163119316101,0.5847431421279907,-0.16115359961986542,0.6597169637680054,-0.024712951853871346,0.5925297141075134,-0.271864652633667,0.6237210035324097,-0.0443459078669548,0.7443917393684387
Religiosity: None of the above,Religiosity,None of the above,-0.017892315983772278,0.6375100612640381,-0.07850191742181778,0.7058277130126953,-0.03760029748082161,0.6721038818359375,-0.008402908220887184,0.6833146214485168,0.05256208777427673,0.8273075819015503
Religiosity: Progressive,Religiosity,Progressive,-0.11916261911392212,0.5635199546813965,-0.27038776874542236,0.60193932056427,-0.19289827346801758,0.5227416157722473,-0.13224995136260986,0.5796492099761963,-0.1613042950630188,0.7370081543922424
Religiosity: Secular,Religiosity,Secular,-0.1013638824224472,0.6881865859031677,-0.05120405554771423,0.6648905277252197,-0.12105576694011688,0.6069440841674805,-0.07599737495183945,0.6229522824287415,-0.011466258205473423,0.7477594017982483
Religiosity: Spiritual but not religious,Religiosity,Spiritual but not religious,0.05766195058822632,0.6750370264053345,0.02714630588889122,0.7440929412841797,-0.03329851105809212,0.7299659848213196,0.11266548186540604,0.7021660804748535,0.16140855848789215,0.8120597004890442
Religiosity: Traditional,Religiosity,Traditional,-0.011060662567615509,0.6306359767913818,-0.06654497981071472,0.686181902885437,-0.033089425414800644,0.6424790620803833,-0.020594043657183647,0.6491157412528992,0.02816646359860897,0.7662174105644226
Marital Status: Divorced,Marital Status,Divorced,0.09407065808773041,0.6889815926551819,0.04853774607181549,0.7737653255462646,0.10562532395124435,0.798760712146759,0.08533003181219101,0.7527328133583069,0.2674826383590698,0.8429906368255615
Marital Status: Married,Marital Status,Married,0.012972589582204819,0.6420795321464539,-0.07631681114435196,0.6817286014556885,-0.0836426168680191,0.6387073397636414,0.03277580067515373,0.666512131690979,0.04582639038562775,0.7597025632858276
Marital Status: Never married,Marital Status,Never married,-0.018224705010652542,0.6268964409828186,-0.0783720314502716,0.6756742000579834,-0.06258490681648254,0.6491643190383911,-0.09004294127225876,0.6567859649658203,0.03169887512922287,0.7744286060333252
Marital Status: None,Marital Status,None,-0.006938005797564983,0.41243982315063477,-0.12559038400650024,0.47742506861686707,-0.27419164776802063,0.4528132379055023,-0.4313737154006958,0.5679920315742493,-0.06899840384721756,0.6270874738693237
Marital Status: Separated,Marital Status,Separated,0.12390196323394775,0.7758082747459412,0.08159186691045761,0.781086266040802,0.14640074968338013,0.7039420008659363,0.09419938921928406,0.7255405187606812,0.16992397606372833,0.8847167491912842
Marital Status: Widowed,Marital Status,Widowed,-0.03691359609365463,0.6714805960655212,-0.0033221105113625526,0.7085809111595154,0.041133854538202286,0.6460858583450317,0.04344874247908592,0.6610477566719055,-0.006882227957248688,0.8833738565444946
Education: Bachelorâ€™s degree,Education,Bachelorâ€™s degree,0.061595357954502106,0.6733652949333191,-0.021517422050237656,0.6861504316329956,-0.002875510137528181,0.6729173064231873,0.089836984872818,0.6969846487045288,0.16978555917739868,0.791713535785675
Education: Graduate degree,Education,Graduate degree,0.040110234171152115,0.6591172218322754,-0.06243021786212921,0.7319520115852356,-0.021909179165959358,0.6540005803108215,0.06327896565198898,0.6403742432594299,0.12395929545164108,0.773552417755127
Education: High school credential,Education,High school credential,0.0018714747857302427,0.6693587303161621,-0.034770384430885315,0.7389330863952637,-0.02611478418111801,0.6410436034202576,0.02180778793990612,0.7268285751342773,0.07928062975406647,0.7765657305717468
Education: Less than high school credential,Education,Less than high school credential,0.03073829971253872,0.6258872747421265,-0.16687345504760742,0.5792076587677002,-0.1336064338684082,0.6692091226577759,-0.19963841140270233,0.6185937523841858,-0.21551507711410522,0.8395515084266663
Education: None,Education,None,-0.09375761449337006,0.7416927218437195,-0.013525014743208885,0.6266294121742249,-0.2184552401304245,0.6334800720214844,-0.043925028294324875,0.7617989182472229,-0.08388201892375946,0.8235388994216919
"Education: Some post-high school, no bachelorâ€™s degree",Education,"Some post-high school, no bachelorâ€™s degree",-0.024287566542625427,0.6221015453338623,-0.04109754413366318,0.7067588567733765,-0.05355500057339668,0.673999547958374,-0.04685351997613907,0.6736307740211487,-0.003317072056233883,0.7969138622283936
Orientation: Bisexual,Orientation,Bisexual,0.09773101657629013,0.6960103511810303,0.11106839776039124,0.6989984512329102,-0.0474688746035099,0.7107143998146057,0.12596076726913452,0.8261129856109619,0.2360113263130188,0.8490996956825256
Orientation: Heterosexual or straight,Orientation,Heterosexual or straight,0.016038868576288223,0.642666757106781,-0.04733947664499283,0.6988856196403503,-0.03546208143234253,0.6568347811698914,0.008195847272872925,0.679729700088501,0.061450276523828506,0.784732460975647
Orientation: Homosexual or gay (or lesbian),Orientation,Homosexual or gay (or lesbian),-0.047480206936597824,0.659700334072113,-0.05120405554771423,0.7505780458450317,-0.00858780276030302,0.7471921443939209,0.011781679466366768,0.607623279094696,0.05458210036158562,0.7280154824256897
Orientation: None,Orientation,None,-0.30305832624435425,0.39171797037124634,-0.450488805770874,0.39593422412872314,-0.43920648097991943,0.3890874981880188,-0.34660646319389343,0.5283674001693726,-0.3410889506340027,0.6229031682014465
Orientation: Something else,Orientation,Something else,-0.4016209840774536,0.5647246241569519,-0.38717272877693176,0.7109196186065674,-0.3834918439388275,0.4618109166622162,-0.46341681480407715,0.48606443405151367,-0.37221238017082214,0.7109507322311401
"Income: $10,000-14,999",Income,"$10,000-14,999",0.04250843822956085,0.6405061483383179,-0.01135824341326952,0.7048694491386414,0.02195780910551548,0.6685171127319336,0.07598496973514557,0.6769030690193176,0.036456529051065445,0.7414502501487732
"Income: $100,000-109,999",Income,"$100,000-109,999",0.05669385567307472,0.6858007907867432,0.04974955692887306,0.7453491687774658,-0.0024179848842322826,0.7231951951980591,0.013801295310258865,0.6778742074966431,0.04972916841506958,0.7482443451881409
"Income: $110,000-124,999",Income,"$110,000-124,999",-0.06619058549404144,0.527007520198822,-0.18219050765037537,0.6040164232254028,-0.1526491641998291,0.5378863215446472,0.008493637666106224,0.6012353301048279,-0.15270684659481049,0.7864625453948975
"Income: $125,000-149,999",Income,"$125,000-149,999",0.06252846866846085,0.580625057220459,-0.02520029805600643,0.6285645365715027,-0.11217916011810303,0.6173009276390076,-0.028596097603440285,0.6412283182144165,0.09654608368873596,0.6878323554992676
"Income: $15,000-19,999",Income,"$15,000-19,999",-0.031299468129873276,0.6136680841445923,0.04336966201663017,0.6700048446655273,-0.13293561339378357,0.618621826171875,-0.1491856873035431,0.6151795387268066,-0.0097623560577631,0.7981608510017395
"Income: $150,000-174,999",Income,"$150,000-174,999",-0.015977775678038597,0.665418267250061,-0.16579407453536987,0.7024020552635193,-0.15310604870319366,0.6245599389076233,-0.048092834651470184,0.6422777771949768,-0.03455449640750885,0.7533808946609497
"Income: $175,000-249,999",Income,"$175,000-249,999",0.021572912111878395,0.5707049369812012,-0.07140590995550156,0.7257792949676514,-0.05186101794242859,0.6481550931930542,0.058375872671604156,0.660101592540741,0.08077333122491837,0.7625740170478821
"Income: $20,000-24,999",Income,"$20,000-24,999",-0.0954519659280777,0.5891563296318054,-0.03338463976979256,0.5928905010223389,-0.08657493442296982,0.5561217069625854,-0.09905927628278732,0.6247503757476807,-0.09992047399282455,0.7419586181640625
"Income: $25,000-29,999",Income,"$25,000-29,999",0.1499820351600647,0.5905079245567322,-0.0717305988073349,0.6955677270889282,-0.1209418922662735,0.6361900568008423,-0.08413916081190109,0.6474416851997375,0.038679081946611404,0.7210265398025513
"Income: $250,000 or more",Income,"$250,000 or more",0.046300362795591354,0.6520475149154663,-0.14058560132980347,0.7356509566307068,-0.037865135818719864,0.6019904017448425,0.07207556813955307,0.6265569925308228,0.050443023443222046,0.7776944637298584
"Income: $30,000-34,999",Income,"$30,000-34,999",0.08970022201538086,0.7684967517852783,0.04312160611152649,0.7440782785415649,0.02936684712767601,0.751916766166687,0.12773844599723816,0.7257654666900635,0.20195962488651276,0.8887264728546143
"Income: $35,000-39,999",Income,"$35,000-39,999",-0.25145113468170166,0.610505223274231,-0.17698919773101807,0.5007216930389404,-0.26925376057624817,0.5372556447982788,-0.1908593773841858,0.6306573748588562,-0.07423152774572372,0.728009819984436
"Income: $40,000-44,999",Income,"$40,000-44,999",-0.08365492522716522,0.6806967258453369,0.04809759929776192,0.6935006976127625,0.013072764500975609,0.7426058650016785,0.018004046753048897,0.7472409009933472,0.09989587962627411,0.8688817024230957
"Income: $45,000-49,999",Income,"$45,000-49,999",-0.20474469661712646,0.6826813817024231,-0.34710144996643066,0.7439123392105103,-0.12540608644485474,0.7338826656341553,-0.13151101768016815,0.6814302206039429,-0.18072369694709778,0.8525058031082153
"Income: $50,000-59,999",Income,"$50,000-59,999",0.06138113886117935,0.6764156818389893,-0.04322872683405876,0.7040364146232605,-0.033485785126686096,0.7625960111618042,-0.0077494848519563675,0.6795169115066528,0.007056007627397776,0.8582795262336731
"Income: $60,000-64,999",Income,"$60,000-64,999",-0.1201736256480217,0.5781395435333252,-0.02186828851699829,0.6536272168159485,0.0353844091296196,0.6882545948028564,0.021005863323807716,0.6884086728096008,0.24017104506492615,0.8245072364807129
"Income: $65,000-69,999",Income,"$65,000-69,999",-0.0991179496049881,0.523795485496521,-0.15816721320152283,0.5076640248298645,-0.058727093040943146,0.47354066371917725,-0.13751599192619324,0.5943031311035156,0.005417239386588335,0.5900574922561646
"Income: $70,000-74,999",Income,"$70,000-74,999",0.2550364136695862,0.6880685091018677,-0.10624798387289047,0.7149473428726196,-0.13715554773807526,0.5925898551940918,0.043606605380773544,0.7165300250053406,-0.11998765170574188,0.6577480435371399
"Income: $75,000-79,999",Income,"$75,000-79,999",-0.08268441259860992,0.6552826762199402,-0.12976451218128204,0.7155032157897949,-0.0633324459195137,0.6815273761749268,-0.06549764424562454,0.7839887738227844,0.19199953973293304,0.8407213687896729
"Income: $80,000-89,999",Income,"$80,000-89,999",-0.10573120415210724,0.6098477244377136,-0.1687193512916565,0.48998016119003296,-0.2309315800666809,0.5952885150909424,-0.1707373410463333,0.560641884803772,-0.012040694244205952,0.7576432228088379
"Income: $90,000-99,999",Income,"$90,000-99,999",0.16988930106163025,0.7040910720825195,0.13062307238578796,0.74468994140625,-0.00045579936704598367,0.7151840925216675,0.06884177029132843,0.6573492288589478,0.2755158543586731,0.7291579842567444
Income: None,Income,None,0.013355856761336327,0.634440541267395,-0.04733947664499283,0.6892221570014954,-0.012454114854335785,0.6374222636222839,-0.026944557204842567,0.714870035648346,0.10495040565729141,0.8434173464775085
"Income: Under $9,999",Income,"Under $9,999",0.0011802358785644174,0.650607168674469,-0.08874888718128204,0.7513026595115662,0.04770784080028534,0.7183150053024292,0.058541540056467056,0.6957738995552063,0.06418170779943466,0.8111846446990967
2020 Pres Vote: Donald Trump,2020 Pres Vote,Donald Trump,0.04766860231757164,0.6743147373199463,0.0039913346990942955,0.7421922087669373,-0.007020056713372469,0.6973183155059814,0.061165258288383484,0.6862987875938416,0.08143074065446854,0.8002035021781921
2020 Pres Vote: Howie Hawkins,2020 Pres Vote,Howie Hawkins,-0.3861680030822754,0.6631308794021606,0.37169891595840454,0.5608242154121399,-0.22386282682418823,0.4123026430606842,-0.33007049560546875,0.7086061239242554,-0.15737171471118927,0.7848537564277649
2020 Pres Vote: Jo Jorgensen,2020 Pres Vote,Jo Jorgensen,-0.250207781791687,0.4470834732055664,-0.42210981249809265,0.5922778844833374,-0.06552021950483322,0.49100685119628906,0.09512434154748917,0.555001974105835,-0.3346055746078491,0.6845972537994385
2020 Pres Vote: Joe Biden,2020 Pres Vote,Joe Biden,0.016038868576288223,0.6429315805435181,-0.06407374888658524,0.6824774742126465,-0.06855040788650513,0.6666719913482666,-0.0017422878881916404,0.6872981190681458,0.09056633710861206,0.7857934236526489
2020 Pres Vote: None,2020 Pres Vote,None,-0.026369979605078697,0.6105114221572876,-0.08874888718128204,0.6379809379577637,-0.07966139167547226,0.6043611168861389,-0.07478667050600052,0.6464524269104004,0.013725400902330875,0.7765610218048096
2020 Pres Vote: Other,2020 Pres Vote,Other,-0.023563511669635773,0.3956402540206909,0.15069694817066193,0.7335981726646423,-0.05101237818598747,0.7475777268409729,0.3456970751285553,0.7533551454544067,-0.0031095948070287704,0.8011547327041626
Sex: Female,Sex,Female,0.03283364698290825,0.6501537561416626,-0.046657744795084,0.6889302134513855,-0.05778949707746506,0.6532017588615417,0.012035895138978958,0.6862508654594421,0.06017359346151352,0.8050716519355774
Sex: Male,Sex,Male,-0.02246668003499508,0.6367103457450867,-0.07850191742181778,0.6940662264823914,-0.03468649089336395,0.6540326476097107,-0.012644615024328232,0.6609779596328735,0.04582639038562775,0.7571883201599121
Sex: None,Sex,None,-0.21942608058452606,0.6211627125740051,-0.12559038400650024,0.4337305426597595,-0.3231939971446991,0.42352721095085144,-0.6359968185424805,0.6180024147033691,-0.22729460895061493,0.9331843852996826
Race: AIAN,Race,AIAN,-0.029433678835630417,0.49663037061691284,-0.03186287358403206,0.6667859554290771,-0.11623863130807877,0.5330539345741272,-0.183632493019104,0.5933713316917419,0.033421777188777924,0.7096365690231323
Race: Asian/NHPI,Race,Asian/NHPI,-0.26463043689727783,0.4921398460865021,-0.29546481370925903,0.49725669622421265,-0.3403671383857727,0.5678049921989441,-0.1216319277882576,0.5512388944625854,-0.1755894422531128,0.734737753868103
Race: Black,Race,Black,-0.09112448990345001,0.579280436038971,-0.11481724679470062,0.5887979865074158,-0.055026113986968994,0.5790310502052307,-0.05278082564473152,0.5905776619911194,0.04698467627167702,0.7107897400856018
Race: Hispanic,Race,Hispanic,0.04320641979575157,0.641190767288208,-0.023518694564700127,0.7056748867034912,-0.037628259509801865,0.6698922514915466,-0.04854455217719078,0.7227911949157715,0.029997261241078377,0.7553443908691406
Race: Multiracial,Race,Multiracial,0.17150603234767914,0.6028405427932739,0.14412203431129456,0.7637621164321899,0.059879254549741745,0.7718101739883423,-0.023362349718809128,0.7840172648429871,0.06017359346151352,0.7990041375160217
Race: None,Race,None,-0.36728018522262573,0.4932219088077545,-0.36469030380249023,0.32148611545562744,-0.3231939971446991,0.2657219469547272,-0.4575843811035156,0.5645485520362854,-0.40887555480003357,0.49750128388404846
Race: White,Race,White,0.031142545863986015,0.6658573746681213,-0.03131561353802681,0.7248268127441406,-0.030007438734173775,0.6706463694572449,0.04292828217148781,0.6828783750534058,0.0876995325088501,0.8096204996109009
2020 Primary Vote: 3rd party,2020 Primary Vote,3rd party,0.09458500891923904,0.5813767313957214,0.035684917122125626,0.6870264410972595,0.1443406492471695,0.7249836325645447,-0.06061186641454697,0.7101060152053833,0.06248519569635391,0.8816831111907959
2020 Primary Vote: Amy Klobuchar,2020 Primary Vote,Amy Klobuchar,0.13937169313430786,0.6167399883270264,-0.005460323300212622,0.6866315007209778,-0.1809101551771164,0.8059676289558411,0.13134178519248962,0.6851812601089478,0.48499879240989685,0.6871308088302612
2020 Primary Vote: Another Democrat,2020 Primary Vote,Another Democrat,0.012657759711146355,0.4362179636955261,-0.4495528042316437,0.5834149122238159,-0.4318084716796875,0.3582604229450226,-0.23577788472175598,0.4013400375843048,-0.07474485039710999,0.5716572403907776
2020 Primary Vote: Another Republican,2020 Primary Vote,Another Republican,-0.23227457702159882,0.5129640102386475,-0.5505607724189758,0.6235345005989075,-0.45978403091430664,0.5464078187942505,-0.40522241592407227,0.49150538444519043,-0.3005012273788452,0.5161169171333313
2020 Primary Vote: Bernie Sanders,2020 Primary Vote,Bernie Sanders,0.13291272521018982,0.675936222076416,0.08349382877349854,0.7918208837509155,-0.0004150868044234812,0.780876874923706,0.08898869156837463,0.7565619945526123,0.26197248697280884,0.912684440612793
2020 Primary Vote: Donald Trump,2020 Primary Vote,Donald Trump,0.03128887712955475,0.7057269215583801,0.07285818457603455,0.7603394985198975,0.022696202620863914,0.7041964530944824,0.07700333744287491,0.6925910711288452,0.1356128603219986,0.8057618141174316
2020 Primary Vote: Elizabeth Warren,2020 Primary Vote,Elizabeth Warren,-0.13430720567703247,0.6090407967567444,-0.25096163153648376,0.6995429992675781,-0.1366092562675476,0.6117159128189087,-0.13729311525821686,0.6808478236198425,-0.14838401973247528,0.8036478161811829
2020 Primary Vote: Joe Biden,2020 Primary Vote,Joe Biden,-0.009920253418385983,0.6288390159606934,-0.046657744795084,0.6902334690093994,-0.04414992779493332,0.6516629457473755,0.036948028951883316,0.6739002466201782,0.09924321621656418,0.7889640927314758
2020 Primary Vote: Michael Bloomberg,2020 Primary Vote,Michael Bloomberg,0.5759198069572449,0.9794901609420776,0.07758405059576035,0.8170868754386902,0.08439969271421432,1.0689948797225952,0.08264490962028503,0.932131290435791,0.3235071301460266,0.8872547745704651
2020 Primary Vote: None,2020 Primary Vote,None,-0.00462231645360589,0.6258296966552734,-0.09319296479225159,0.6567718982696533,-0.07674816995859146,0.6256663799285889,-0.01789570041000843,0.6528010368347168,0.010185468941926956,0.7604953050613403
2020 Primary Vote: Pete Buttigieg,2020 Primary Vote,Pete Buttigieg,0.1355670988559723,0.6948764324188232,0.030101442709565163,0.845906138420105,0.06812187284231186,0.8987292051315308,0.04400032013654709,0.8830147981643677,0.14808343350887299,0.864084005355835
Lib-Cons Scale: Conservative,Lib-Cons Scale,Conservative,-0.02246668003499508,0.6991370916366577,-0.0259573832154274,0.7227129936218262,0.006019762251526117,0.6426451206207275,0.027599062770605087,0.6768974661827087,0.04593915864825249,0.784856379032135
Lib-Cons Scale: Extremely conservative,Lib-Cons Scale,Extremely conservative,0.0767970010638237,0.6650435924530029,0.007445460185408592,0.7897404432296753,-0.02936645969748497,0.6976384520530701,0.03412913903594017,0.7150678634643555,0.12521880865097046,0.7984570264816284
Lib-Cons Scale: Extremely liberal,Lib-Cons Scale,Extremely liberal,0.06421211361885071,0.7176682949066162,-0.1350925862789154,0.7073355913162231,-0.009882298298180103,0.7295895218849182,0.09043578803539276,0.736238420009613,0.0010899901390075684,0.8504525423049927
Lib-Cons Scale: Liberal,Lib-Cons Scale,Liberal,0.02195003442466259,0.637020468711853,-0.02296582981944084,0.6857081055641174,-0.08316312730312347,0.6400915384292603,0.011330555193126202,0.6856773495674133,0.11612551659345627,0.7852948307991028
Lib-Cons Scale: Moderate; middle of the road,Lib-Cons Scale,Moderate; middle of the road,0.08134862780570984,0.6799579858779907,-0.0612773634493351,0.730938732624054,-0.007020056713372469,0.71330326795578,0.004511086270213127,0.6619392037391663,0.058206357061862946,0.8031043410301208
Lib-Cons Scale: None,Lib-Cons Scale,None,-0.1393209844827652,0.5160996317863464,-0.06241311877965927,0.5889284014701843,-0.1760423332452774,0.5902318954467773,-0.10352591425180435,0.6219557523727417,-0.03326284512877464,0.7200217843055725
Lib-Cons Scale: Slightly conservative,Lib-Cons Scale,Slightly conservative,0.07975371927022934,0.6753142476081848,0.011625202372670174,0.7115042209625244,-0.0053759124130010605,0.6691718697547913,0.16130675375461578,0.658433198928833,0.16338478028774261,0.7464226484298706
Lib-Cons Scale: Slightly liberal,Lib-Cons Scale,Slightly liberal,0.059865955263376236,0.6321799755096436,-0.00994583684951067,0.7034569978713989,0.03202876076102257,0.7268394231796265,-0.012993964366614819,0.750725269317627,0.16978555917739868,0.8873340487480164
