,Question,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7,Component 8,Component 9,Component 10,Component 11,Component 12,Component 13,Component 14,Component 15,Component 16,Component 17,Component 18,Component 19,Component 20,Component 21,Component 22,Component 23,Component 24,Component 25,Component 26,Component 27,Component 28,Component 29,Component 30,Component 31,Component 32,Component 33,Component 34,Component 35,Component 36,Component 37,Component 38,Component 39,Component 40
10,"govt shouldn't protect environment,",0.09140369445412422,-0.03512682702620202,0.05083544931461762,0.016049012962732194,-0.026088505635149195,0.03080702487151607,0.06147627626153762,-0.019767394764891755,0.020350998197930903,-0.07352444007267228,-0.037830310531506754,0.0029759749316662573,0.004177697942660444,-0.022638088737407566,-0.026757416664139777,0.06887397070112385,-0.054059529741859735,-0.0078114444196878685,-0.11716566557638572,0.03141643132473894,-0.04136884803032194,0.00781286736225225,0.032056619580752566,0.011332162626438592,-0.03688407115672257,-0.01932571697201414,0.017803038147174793,-0.08422588703929533,-0.06287041905593557,0.09602085413051543,0.05056974101825225,-0.01738883016764689,0.059912752496800614,-0.0700749621923604,0.014959250077588263,-0.04877375026227705,0.05306669720158824,0.026071369147616583,0.04953939023597814,-0.03087248009871886
11,"decrease social security spending,",0.00518362457084312,-0.11264791976818953,0.0932074686158566,0.1890114425077095,-0.10125888744207495,0.0602325860230484,0.06413341508581949,-0.15336972980230043,0.1283859415740217,-0.05268062735204865,0.13099663881547957,0.029539142700159317,0.08850263307240264,-0.0014005401232196901,-0.14988588865756983,-0.0634914690037054,-0.051189305455494404,-0.05354992833155936,-0.025613522824319078,-0.05120267653696374,0.20276427695265123,0.005336302538865127,-0.018861807262365804,-0.03775201168897542,-0.03241204963584037,-0.08021328323653454,-0.07630949639079615,0.0031990298688758245,0.07402665147527605,-0.06435420059694887,0.12828015861278358,-0.07189086520703902,-0.056291741255492744,0.31417663260909257,0.005146899371118757,0.09140071780052697,-0.057633576247861605,0.1285449967620359,-0.06917629965050334,0.269432379890948
12,"decrease public school spending,",0.06269732035078147,-0.07690028854614277,0.04313410445258515,0.09830049551186591,-0.05800585531227853,-0.02361595912511838,0.04348123515855651,-0.10617687408046111,0.06284828138997338,-0.1060861903250602,0.16210850667894627,-0.04083927672090972,0.06272304781862778,0.03155203043930349,-0.038625580131632864,0.03281949296811086,0.009627288900898257,0.03480186013294595,-0.040728773681590766,0.01082667458242869,0.018479293320984778,0.030975015025954074,-0.004376202982963373,-0.016548099580739675,0.022629764634810604,-0.08898550277467945,-0.022451414054286606,0.038506134061690026,-0.09160376902461044,-0.08630064066533134,-0.01711155115184461,-0.02697093768564439,0.09758097659285228,-0.033291004224338956,-0.07095828755671205,-0.10865429366994132,-0.04351588145480848,-0.06595905245190307,-0.006665818972562439,-0.04408137375669155
13,"decrease border security spending,",-0.13462694496253724,0.011306481463899232,0.11449105461745009,0.048425291740447234,-0.034730332116274354,-0.06959435600005259,-0.07230134051325947,-0.12320829206783329,-0.14454352360450148,0.08525836119896113,0.14627734366528,-0.06604364223881647,0.10397357800448853,0.02135735801444663,0.02266715663828374,-0.014162017143961158,0.019647454172213228,-0.07119489709684504,-0.029132307872060392,-0.03509172377192113,-0.08299792589690241,0.0705927738577314,0.1052485766813808,0.035674294298270806,0.07180736817481159,0.0077647872479612925,0.0800529574062312,0.05624241200312701,-0.007566691033102698,0.02619292782840707,0.08004439753753453,0.0385093821038411,0.060787673156850824,-0.05608671461679115,0.09718367436231479,0.043334527881830606,0.014228273896248153,0.1547336434718436,0.002539341296743932,0.00012751181882538626
14,"decrease crime prevention spending,",-0.14050554784671865,-0.009542072426154546,0.17801758406418025,0.15806108347062794,-0.15174103539062336,-0.15983979227434897,0.026047954438161325,-0.10940513737000104,0.07377958642899396,0.04693350908937771,0.15698500930692214,-0.16281174011525684,0.17962767506034918,0.13140205829075435,-0.027064749584217507,0.0018289043639367966,0.012847167529145283,-0.10071795960102171,-0.0767325161663885,-0.07703548975234413,-0.052820813820812704,0.0790366574225996,0.049606316696143085,-0.08446914191263227,0.06345504095107908,0.023278406464521575,0.12331181267631287,-0.008814375289080412,0.026576164824901858,-0.09934848821741865,-0.02744670866566706,0.00914704602755009,0.13020581026876737,-0.014950441004419356,-0.14890806284522695,-0.23364369393912934,-0.08753423336587304,0.06086808880132537,-0.10863126686333367,0.04417898232077082
15,"decrease welfare spending,",0.11475253358505899,-0.07257354660936266,-0.05381893037109429,0.14625887176564392,-0.045585240396533104,0.11161567750357393,0.028366671255350917,-0.021924956673657486,0.08320240530086995,-0.007031994591130242,0.150979737089275,0.02893726009228658,-0.04130040750700269,-0.017999142987944375,-0.015243661154089733,0.04347519460274778,-0.05548631725362333,0.07315623128121708,-0.06847272621275957,-0.007959118253292208,0.029786221298637394,-0.02061280664349041,0.028746000123503312,0.08096616192583075,0.03993491160192691,-0.08402653450120744,-0.03195628644378962,-0.019060369563701773,-0.07851978337315632,0.049533562244352396,0.1966486912703369,0.007880125395707621,0.021493923967300904,0.00038827523536839534,0.08365152983963667,-0.006785091040986745,-0.011923341268370724,0.08150674323902705,0.08826550289697695,-0.07029340950882285
16,"decrease highway spending,",0.02464398289188769,-0.005738743158757341,0.18403622867374497,0.0847472670805821,-0.18112178213079724,0.060436683147283024,-0.038328241448899125,-0.10070099580488423,0.09439912870963875,0.10256360666255693,0.22176694303639075,-0.06307377940196744,0.08063267296393534,0.004064636751347966,-0.12256723095611205,0.02789758200347818,0.0475543565848138,0.20054950627276752,0.010812556861138153,-0.3254703647552324,0.10191821250880383,-0.10258310200820064,0.2679797232047103,0.009748084174651124,0.2629118517601534,-0.02280779079292579,-0.08147413414550875,0.026979850561632476,-0.05349059383409438,0.08818363553069537,-0.2904168212079957,0.15432585294834442,-0.20670152398981717,-0.05054046400197955,0.028670480106186058,0.12274881511353858,0.06000204205172331,-0.3181609538433027,0.0444488876508389,0.008772351635274362
17,"decrease poor aid spending,",0.0912809968359219,-0.11452424914287342,0.004111772211492831,0.19528333120388608,-0.07367847908024783,0.028896085767570467,-0.0062428627680496925,-0.0493388758813373,0.09237282840168948,-0.0375968868092105,0.15873747268481334,0.01151928770208964,0.01328340962546863,-0.016972786382198977,-0.007123525789967087,0.06664687807842393,-0.08460838033026838,0.04913160529670308,-0.024690285936349976,-0.06105739186108943,0.023434282511005725,0.00763009380705592,0.012537025483373578,0.05872870812440104,0.002464368332794842,-0.10226313337342352,-0.016757887281126427,-0.013055196551804225,-0.0640461038166489,0.03550720717928655,0.0656927363305286,-0.0006551790957720696,0.00996238376994893,0.0058652593851444695,0.016788270663278423,-0.055267657697526534,-0.022137620827428886,0.06724754560096677,0.04190861241739026,-0.01911363159055761
18,"decrease environment spending,",0.07935843662991789,-0.0324848316409036,0.0633658518866033,0.045780860098289994,-0.04348785962521404,0.011721993913151143,0.1093400440649358,-0.035605030497143385,0.04171594173832646,-0.04464066163813189,0.0688138790467479,0.0038234152316997004,0.041482831104271777,0.02823447490676486,-0.0027868940152267485,0.004375327629280607,-0.023788566605938186,0.10439997210145954,-0.0845942726844288,-0.017653329028644804,-0.02620503504592256,0.013976943137641158,0.08402130438294846,-0.022604105629353013,0.007490327259668618,0.02382672870522315,0.013598124892320713,-0.06871233107503717,-0.033970249776504716,0.07400055761075236,0.13153186285131752,0.015470788881874415,0.08105702480090801,-0.0679747880396648,-0.0007830123833108514,-0.1040561346409064,0.0523148831899406,0.03887547372644535,0.024398607553894256,-0.05601699929152814
19,"abortion always allowed,",-0.08666517683148164,-0.009348744226966788,0.005206025375162904,0.06724370796009761,-0.012782314451425593,-0.028655206886535604,-0.14700125062721278,0.11981001240112818,0.033849949570397886,0.021868845307642985,0.034217807322259694,0.05585283204148498,0.04510867290560071,-0.052367340548442685,-0.027794039588229222,-0.05005795730041921,-0.10236365249799506,0.014771916577567488,0.03665314835212199,-0.010059850406434775,-0.017923701911431833,0.08977576269264659,0.055917159351978545,-0.04255232894422681,-0.11859172761726545,-0.004356798636591962,-0.01843330398378052,0.023120919875496984,-0.04348269489339223,0.049651356872281754,-0.0691208373292139,0.06740739623969955,0.07132635556451963,0.10188417339874253,0.04201781444987913,-0.028015428214308864,0.0670961430618568,0.045165036639049805,-0.025266318410481506,-0.007340168654839663
20,"no death penalty,",-0.1311446007295491,-0.01566034819019936,0.08519020055059401,-0.08860610642954128,-0.019397003974510548,-0.11478239032935154,0.1640997258505682,-0.079482722071254,-0.08029081800227264,-0.001985482841234801,0.06629542063338639,-0.04471259932122549,0.10910961948641308,0.018998079557758993,0.12781602576190032,-0.0794001944618479,0.20003721829778406,-0.09153064901756014,0.07686605305365705,0.16876237394410576,0.04810775875407641,-0.10725874751738093,0.02515218502890683,0.09172065970568975,0.12482830581798206,-0.23161269992880665,-0.0010050532676796203,-0.2147048215843959,-0.059738711863519714,-0.08632377552478665,-0.301081972109467,-0.1636881445915062,0.052027310263895066,0.33302168613515776,0.04890379490538188,0.001497762857837208,0.027953416216553444,-0.027689047192892287,0.1487945687156314,-0.22862987790291164
21,"us should not stay home,",-0.0717978295067894,-0.10888606893512093,-0.117534997985273,-0.03531844698103374,0.0466098184790934,0.006203961663642749,-0.001475417837625516,0.06948065677702046,-0.07941934077122462,-0.16633977392761512,-0.026785121460543636,0.21266640222139302,0.21902691954532733,-0.1455746215948858,-0.04243805529117724,-0.001400521200420095,0.07325306425289776,-0.2201372970681763,0.07151456989022068,-0.09709678041092754,0.07782028244905895,0.025743808347295744,-0.0024658216390304813,-0.15322346129261358,0.19735809898770695,-0.03468485825254541,-0.07707400973113027,-0.07542335940590025,0.1693226976234631,0.07649838992443977,-0.07022900756067202,-0.11591675701145782,0.1310295665553844,-0.02688262313045032,-0.031985030779520134,-0.20725081812428475,-0.10621708415829584,0.0032650680866692355,0.05816936596934506,0.1457903841997647
22,"us shouldnt use force internationally,",-0.06205275533477816,0.015232626521078473,0.07669476936101625,0.1054112446128188,-0.00782137260099864,-0.020284005720210302,0.05873423562402587,0.02105901457258781,0.10093093801684627,0.0022238327326445026,0.1290796807696346,-0.36929730964023033,-0.1365919431120583,0.07890077347313966,0.087717514363794,0.00328830930147957,-0.017674789283617445,0.22991957632723833,0.05050922943085925,0.36693942470555213,-0.055845281863569865,0.06881216569504583,-0.12080336710494251,0.2025698700947711,-0.09781300800447734,0.012328103850881643,0.004580009236710663,-0.24235772053752463,0.20668523462436328,0.11434320891975948,-0.02438098719140576,-0.21394498545288598,0.04785924075871807,0.06181051943352989,0.05026183831364431,-0.04551396206479771,0.040791397810467526,-0.0278114644748335,-0.04984146452031958,0.08778634114572259
23,"vote in person,",0.08750066867995737,-0.006763697282050256,0.0692075833091506,-0.016650623450365148,-0.042695798620698104,0.14337005188380691,0.07988126729217201,-0.06958902119863342,-0.051186165104494544,-0.025744718624935273,-0.02749779050919106,0.14476634424961674,-0.04593006402127346,-0.006022586907091294,0.04165519500072732,-0.055148082980423146,0.12659560608794862,0.011440018554312268,0.015758246436167928,0.039020604911924994,-0.10378294898796384,-0.03222953220754156,-0.04534872965599288,-0.17649060062474992,0.03550020840257399,0.03373012769364183,-0.11758529886568338,0.01669470099191496,0.07929738201610287,0.21731826320681877,0.136560480791132,0.18265507331761682,0.10087545408501136,0.30290618475975384,-0.07013658556775243,0.09066184895985971,0.06592598887279691,0.048260456779889174,-0.0004363471514360895,-0.293093716533952
24,"no voter id laws,",-0.1491733456972112,-0.017085978485919643,0.08681610071318523,-0.04023078795917367,-0.0552223687844822,-0.33659678836660945,0.14940055840550484,0.009633611109270468,-0.10594010081280913,-0.1500460063041917,0.11124214873641156,0.04210376010832573,0.12433338845015117,-0.10719046638228123,0.14056117287931413,-0.2050170721727845,-0.20146141772615134,-0.04925590826852233,0.29194831074784683,-0.11520985851005223,-0.13171828499531454,0.09441985842074897,-0.06743045261735511,-0.06515141451673023,-0.14993446382776587,0.04558012362084059,-0.024890707845236934,-0.23220268340904127,-0.09241992504567502,0.14925178674530576,0.12039663015237957,0.057709855515067826,-0.2364230336113379,0.012155683604797032,0.026419163434839153,0.0008454292871823005,0.07109014121005532,0.05956956698759406,0.16090271436844572,-0.0005504168008198113
25,"ex felons should not vote,",0.09753985167926396,-0.03649132447999976,0.047915643938674306,0.055331787693442484,-0.021264325637293816,0.005614447083577272,-0.055028209518049834,-0.0985703107051731,0.03049191066004201,-0.12030929590571783,-0.044443132076426,0.12165578158372525,-0.04796536076125144,-0.007463864042674972,0.07206550000301458,0.06057062559547021,-0.048073106955487624,0.04893480886690444,0.12812698273775092,-0.049138143100623644,-0.16375582877842243,-0.05808793446208213,-0.10465383097209718,-0.008684221795569741,-0.12225305214707602,-0.07554510645111681,-0.011359577575475009,0.12844951780681993,0.06561056375813633,-0.06919571842283304,0.07654923727778588,-0.04116362556531758,0.14372798112802393,-0.057442119299035976,0.22039859413950158,-0.12579916214173492,-0.0034361243856992005,-0.18143939304248377,0.011265765765006784,0.03829207157532226
26,"important that news can criticize politicians,",-0.11540216897138253,-0.059939926524374125,-0.12425293018611393,0.09400731054418732,0.018788886163927668,-0.10433882343228701,0.06934675495041329,-0.05659386198492165,-0.004798021584328672,0.10266632347182485,0.047184915246878956,0.03920560750871768,-0.0045981023579415616,0.03546550515720781,-0.12467375999162139,0.05111282752348828,0.02845548193909509,-0.023914225061119364,-0.07967205575708468,0.03710233216600314,-0.05796798655844831,-0.012395137462701017,-0.07338762052548958,-0.023128611626496553,-0.09874927296463185,-0.06022890359256199,-0.0854343895203923,0.02081793379919151,-0.05077843917493598,-0.03642845770615116,-0.04157328847651999,0.03934156455849948,0.059764634263811525,-0.048177789748621754,0.061156919156466455,0.020301075975493722,0.052904498548984026,-0.04357162268781315,0.013781934846192199,-0.09829030813683023
27,"checks and balances important,",-0.10939583096041199,-0.04545838776799124,-0.17202642826053613,0.12299650897050143,-0.03296845311410087,0.009853395105596335,0.11103106384355511,-0.0811970540503131,-0.04967668745097063,0.17495074652738493,0.09352756433399584,0.1561558828212407,-0.05034972130687001,0.010628683451312682,-0.11796829784407997,-0.0408060298425527,0.02520258683893043,0.06845901867695435,0.019458838371874832,0.09040582121168302,-0.05260194280302829,-0.03795015531267395,-0.13495235451291795,-0.00037194863243772414,-0.057048813164578334,-0.029441153436498647,-0.08733275708406703,-0.05791230616436324,-0.03503689680491582,-0.015872997368465577,0.008841960293294225,0.01014061014256562,0.024087201173619843,-0.02283116032711887,0.04094153783509927,-0.016264442130287105,0.04126516898846914,-0.08401027178442248,0.012678017917127866,-0.06857969382359065
28,"important elected officials face consequences for misconduct,",-0.0897905357869676,0.00019323971389597993,-0.17435222071549614,0.0735486543892898,-0.030137029830375035,-0.0021915645765992345,0.06045466767939792,0.09271135846401438,-0.07786862690126217,0.24192723148122344,0.07200747369095178,0.0948833132538445,-0.037898315244379324,-0.04115534780998202,-0.10500060050141861,0.03666667569195804,0.03842934080931859,0.07583563014043465,0.009853973050118217,0.09994783217381342,0.05733661492061176,-0.025134188817370867,-0.06254661420789893,0.00040809353093371366,0.040147032575651415,-0.08905922240951245,-0.05843347675170027,-0.06568089712715455,-0.08915695265761997,-0.03307006440635887,0.048740473363883645,0.036432455717290174,-0.015859319831305823,0.04927283814685888,-0.008399899814445316,-0.07088640242288127,0.04252897768855388,-0.07286759104529851,0.05598716105841051,0.06392223116886189
29,"important people agree on basic facts,",-0.0957509861255585,-0.017305125895278203,-0.16186803593804885,0.08931787594009982,-0.021969533654024476,-0.08740038457143375,0.12486635378294063,-0.07580009512022963,0.051003500324428,0.26364819619797447,0.018306448750682658,0.16397716066809118,-0.0693771322814073,-0.028814740684560365,-0.15331490107977458,0.02152215787743325,0.064421537557036,0.06328088313451559,0.02115676530453786,0.049852941192014,-0.06777557954223572,-0.029435271828073727,-0.14498034848478727,-0.09121837668121785,-0.10946526641682461,-0.0945421654643438,-0.0023274452287981445,-0.027964163890359717,-0.006417523738684578,-0.05159603749248159,0.014545291598397517,0.10349042421570248,-0.07111021937499039,0.043445065416716805,-0.010476275473469503,-0.13105474106211334,0.013885503513239377,-0.14398100145089449,0.15278671560228682,0.04116161814570892
30,"bad if us president could bypass courts/congress,",-0.06990182099429416,-0.06693379112834276,-0.0919320340803655,0.06612142471572832,-0.027483716566385277,-0.0014750098904706423,0.04485380651041087,0.05396078815711209,-0.05023763134820747,0.007806031186492808,0.09434838892397032,0.0007949230268532777,0.02164692631547608,-0.002577183398414635,0.02996386748518069,0.00325495581860409,0.08734859140981129,0.03544477827169569,0.05547086289750605,-0.020188225860313817,-0.05210927490634575,0.08637798682948214,-0.18614495219754276,-0.14193059437763308,0.14034125536200118,0.05955910327164521,-0.08193414567690388,0.04000669872111817,0.14500498645965482,0.004097808104704097,0.004522244520373666,-0.05002744288485463,0.12041167960328213,0.10270797512214268,0.018898662707114898,0.12407345440458259,-0.2520627033728642,-0.08921852057981527,-0.17443709274206393,-0.171817419050044
31,"do not restrict journalist access to govt info,",-0.11476533899540584,-0.04485242816524698,-0.06935969992362527,0.08498143466894482,-0.012531010231690566,-0.07437934373977828,0.018642095873815677,-0.027693949951618085,-0.1236988203218877,0.020232790204570604,0.0824705506416113,0.019054024505690752,0.03899927529488288,-0.06171114661321771,-0.03537360427022581,-0.04677212016697828,-0.01903127100008161,0.01963844712867839,0.05016268158372319,-0.0343534900672778,-0.06410865787604665,0.10068561557509173,0.0955829657185737,0.05350499515557419,-0.08268970163673806,-0.06318114500908062,-0.15897874375826868,0.16255618151265316,0.07543550096731283,-0.04463895636267938,-0.041813891385130184,-0.053591695265697584,0.09949184149961901,-0.17306630888959737,-0.04746176014229399,0.05585121139695155,-0.0737975780665647,0.12747999989920236,-0.1160631982433977,-0.06788985094904584
32,"concerned govt want to undermine media,",-0.11126727157614058,-0.013478608278257814,-0.1759742137700713,0.012893762813542358,0.0014956823092677006,-0.09782046707028062,0.0510030760069191,0.025062468041582322,-0.05811090379537673,0.0982447039794813,0.12245684165352659,0.029966444026390714,-0.06838361443919502,-0.038324206075756276,-0.05630670369309393,0.059906450028086956,-0.031173298915807557,-0.021373147463213935,-0.023212149351852625,0.0021222067368298694,-0.04378809976074707,0.04467702490812141,-0.029010559666708645,0.016297230052939364,-0.0509523645301031,-0.07359765072749748,-0.010251604894511362,0.08486921627654617,-0.0325686655786998,0.014287682259298148,-0.0985287894340538,0.03955544165964289,0.053893254336300975,-0.06643317858386069,0.03188974095596504,-0.037548030814844174,0.01000175823345024,0.00027071390570500287,-0.043049651849213486,0.0015682454159108988
33,"confident in news media,",-0.05093601582697535,-0.08439404510257512,-0.16257580967202706,-0.1618820540790385,0.10409113099392706,-0.13898158896091606,0.035864461056988324,0.04337644218431745,-0.034985936613582055,-0.09426851888378812,0.17981993432646304,0.015927610474451896,-0.011637476784642404,-0.03456634404738577,-0.09417660401584492,0.13733440322679422,-0.08795005399801058,-0.032198490128399086,-0.0013818184731097262,-0.09468632704171669,-0.16230364577254502,0.05002470891754319,0.03504734137862815,-0.0071156795102668025,-0.057178910009159346,0.0021687342753670628,0.04912014379515742,0.08659087153151872,0.035973530475686376,0.18134955085561583,-0.051399778309511174,-0.020360788958517853,0.023924352552479017,-0.0540574761164843,-0.0748073585758425,0.01764655310113546,0.13349376354020992,0.06898656677122676,-0.047119204576747474,-0.05805343187869505
