,Category,Group,Component 1,Confidence Interval 1,Component 2,Confidence Interval 2,Component 3,Confidence Interval 3,Component 4,Confidence Interval 4,Component 5,Confidence Interval 5,Component 6,Confidence Interval 6,Component 7,Confidence Interval 7,Component 8,Confidence Interval 8,Component 9,Confidence Interval 9,Component 10,Confidence Interval 10
PRE: RELIGIOUS IDENTIFICATION: Mainline,PRE: RELIGIOUS IDENTIFICATION,Mainline,0.4406176081380593,0.035415926843106835,0.6041685289104535,0.03864729353780353,0.4026151481390674,0.040663342707253726,0.4999199919175301,0.03969007159198869,0.4328990086945855,0.04027743719098571,0.4473202679607723,0.03866923481133402,0.3977521302531182,0.044304868137923,0.3732700524581402,0.036949731237208995,0.5254826033282781,0.04219536390841176,0.4535079392686474,0.03975064567085688
PRE: RELIGIOUS IDENTIFICATION: Non-traditional believer,PRE: RELIGIOUS IDENTIFICATION,Non-traditional believer,0.4382708017184519,0.02667295929967447,0.5093705808105559,0.025288429043058933,0.5173689281914687,0.027686126596733848,0.4725514049608649,0.025152822080297916,0.4224882262831381,0.02707572231552631,0.4484852628085636,0.02607308812458962,0.4237059360714877,0.02666261738995188,0.4933751764092455,0.02761037363425964,0.4101843674434806,0.026555936210586526,0.4350817216098886,0.025019983965180886
PRE: RELIGIOUS IDENTIFICATION: None,PRE: RELIGIOUS IDENTIFICATION,None,0.5020915744532687,0.03909422483131388,0.5359736949765571,0.03932417970002665,0.4471198239678149,0.047013964312507574,0.4734869859780715,0.04764465521663589,0.4125103437080233,0.04201288708711898,0.4589779943192234,0.04481646354783893,0.4727857644594758,0.04536967026211627,0.4107000262008651,0.03826760729573323,0.4547142971472917,0.04592331449612661,0.3920676852438021,0.046882299454765415
PRE: RELIGIOUS IDENTIFICATION: None of the above,PRE: RELIGIOUS IDENTIFICATION,None of the above,0.4702955559785335,0.013331947217754275,0.4771280146573729,0.013885872420655938,0.4529313009874614,0.015289961326616969,0.4203950991597142,0.014049218749623425,0.4689257155877416,0.014074529328711557,0.4271229006441836,0.014842656770308625,0.5493220823328006,0.014203643522344671,0.4581905041480329,0.014346824100054284,0.4906742865287385,0.014489600496798595,0.5006085135972297,0.01468548163545189
PRE: RELIGIOUS IDENTIFICATION: Progressive,PRE: RELIGIOUS IDENTIFICATION,Progressive,0.2191028872429512,0.021191256589271755,0.580223675225528,0.023650029475691413,0.5122610516279258,0.022334603726392597,0.4741465897705603,0.022138682327453807,0.5617053245790224,0.022255378908620376,0.4873489325269499,0.022619838289768962,0.4854842106442429,0.02214725595209091,0.4991732657085253,0.021305045255103044,0.4565180676161098,0.02117064167704415,0.5504492436241311,0.022818526716635406
PRE: RELIGIOUS IDENTIFICATION: Secular,PRE: RELIGIOUS IDENTIFICATION,Secular,0.1340322507123893,0.027606301606850753,0.6836828791941798,0.028542852802192157,0.4466471999774452,0.026443163166577174,0.3844923626942621,0.027253764263326354,0.5619235928759184,0.024436436840339443,0.4624033945462005,0.02502093643423475,0.6877668396691518,0.025796826050950784,0.4140759460432936,0.026140907126073927,0.2967027244532543,0.02704380536153675,0.6076297136840788,0.026397748512267175
PRE: RELIGIOUS IDENTIFICATION: Spiritual but not religious,PRE: RELIGIOUS IDENTIFICATION,Spiritual but not religious,0.3190457325417872,0.01229668151637642,0.5461787793426378,0.01280530814165106,0.5441555223198402,0.012046736074833647,0.4860898850647304,0.012484981475528404,0.4453006939764564,0.012296850920303656,0.4178640488976558,0.012088113558141935,0.474192197040485,0.012431488208435915,0.4911608599407787,0.012396347704926624,0.463222688489813,0.012172707760916269,0.4814285369662028,0.012468989450171058
PRE: RELIGIOUS IDENTIFICATION: Traditional,PRE: RELIGIOUS IDENTIFICATION,Traditional,0.6412974487864772,0.009802578821326987,0.5593892083183235,0.01089892317305527,0.5168635915054912,0.010679094692204216,0.6248975180722887,0.010417555478019896,0.5180036679755444,0.011261770144940366,0.5601931660871569,0.010873871440675573,0.4752642938749231,0.011080983197241566,0.46971572380126,0.01131987080542758,0.543602305551603,0.011129160180825234,0.4934351928592939,0.011129725232662388
PRE: MARITAL STATUS: Divorced,PRE: MARITAL STATUS,Divorced,0.4241501503000399,0.01524438418268689,0.477022193606338,0.016222665095286675,0.4941056014404504,0.01639496379190768,0.5856691273585045,0.015956467430656002,0.4292430317128816,0.01636375259088868,0.4484852628085636,0.01652707853497509,0.4730158150831954,0.015823842215476485,0.427048978079904,0.016382740126942342,0.4791067611979657,0.015681688430337824,0.4192315726762411,0.016301185682723766
PRE: MARITAL STATUS: Married,PRE: MARITAL STATUS,Married,0.5174116213531106,0.008917598123894642,0.6048964199970156,0.008297303471855958,0.5154219746621626,0.008288896883250185,0.5178306739348405,0.00831487203896353,0.4918870964366837,0.008698063711629216,0.4883385676761179,0.008463588439859731,0.5008711815095547,0.008612781353832213,0.4635177835802358,0.008599712644250293,0.4964513090094581,0.008522683193883282,0.5005593713879707,0.008596374364013802
PRE: MARITAL STATUS: Never married,PRE: MARITAL STATUS,Never married,0.3667621892283598,0.011827029689316289,0.4193211159252394,0.012166917140625462,0.4573388180802272,0.013148460562617911,0.3978725699251417,0.012436994667872249,0.5252025722466604,0.012370399574635529,0.4586738249026473,0.01293620490271134,0.4805946938438644,0.012873000777370035,0.5096925295197782,0.012676119957486397,0.4343710774896829,0.012915166277066889,0.5202553106241116,0.012572738341510478
PRE: MARITAL STATUS: None,PRE: MARITAL STATUS,None,0.3609009664019599,0.07060344443103793,0.4072716948270578,0.06961154423666789,0.4022117242635096,0.06955932915133264,0.3988147632765305,0.07041100554660844,0.506212126874025,0.06323891114063626,0.4420044579724255,0.0752764278475422,0.4494960327872434,0.0782553929721272,0.3595161639950217,0.06761013721715382,0.458675340306473,0.07995652940166842,0.2539317261922993,0.07755104177390852
PRE: MARITAL STATUS: Separated,PRE: MARITAL STATUS,Separated,0.482204201069231,0.036387580686594194,0.3422185607130757,0.03803577817248105,0.3653124872887536,0.04870995497754242,0.5281022064638464,0.050237473887739595,0.5060260475224627,0.048257928200110746,0.4347879769356366,0.0475482874575065,0.3978413749012633,0.045667720145471914,0.4481802897318284,0.052606474184066075,0.4410688998917536,0.04649944597835909,0.4325358529077712,0.04684301832328228
PRE: MARITAL STATUS: Widowed,PRE: MARITAL STATUS,Widowed,0.4419581715619621,0.022726438947442505,0.5153384770459772,0.02325714870791839,0.448464389982186,0.022867395098069655,0.6438817654913184,0.02157420296808271,0.4335803228976619,0.0237327694102251,0.4477579596615164,0.024264688003513595,0.4700403775101927,0.022933465990896913,0.412096735517726,0.021787060702583495,0.5124237773366902,0.023383627178267623,0.3890849675298565,0.024484466514578914
PRE: SUMMARY: RESPONDENT 5 CATEGORY LEVEL OF EDUCATION: Bachelorâ€™s degree,PRE: SUMMARY: RESPONDENT 5 CATEGORY LEVEL OF EDUCATION,Bachelorâ€™s degree,0.3866894877352174,0.013294461812014437,0.6435065173040907,0.011444836788013614,0.5341586323856323,0.011506149368004872,0.4638749520075518,0.011968268144913386,0.5114001976169352,0.012015078079360754,0.468810318126275,0.011971684266845334,0.5155711649100937,0.012414100649853235,0.4864871226259623,0.0113692239554428,0.5039638782261261,0.011976414928346366,0.5151760521318384,0.012180938102886018
PRE: SUMMARY: RESPONDENT 5 CATEGORY LEVEL OF EDUCATION: Graduate degree,PRE: SUMMARY: RESPONDENT 5 CATEGORY LEVEL OF EDUCATION,Graduate degree,0.2335128784451822,0.015131805752296475,0.6833235676453042,0.012067204834248718,0.4727392954495286,0.013017680305292777,0.448911527751296,0.01296143871300652,0.5291374305081817,0.01291223016483479,0.4413914987277695,0.01325668602693584,0.4938049617443266,0.013731686385974773,0.429270772664971,0.012959799571577849,0.4425525926700729,0.013261311850096675,0.5119120501270953,0.01326167792687517
PRE: SUMMARY: RESPONDENT 5 CATEGORY LEVEL OF EDUCATION: High school credential,PRE: SUMMARY: RESPONDENT 5 CATEGORY LEVEL OF EDUCATION,High school credential,0.5913889123583257,0.013463998424060921,0.40143548641922,0.014283112356733152,0.4641698046177037,0.016147749839948204,0.6226960080400318,0.016237974403615796,0.4896387123422889,0.016091835997364207,0.5319272837371375,0.016253495533605472,0.5189260742269822,0.015858059807444314,0.4835087385142718,0.01630533269874194,0.5323447483019178,0.015959463302701215,0.4925572866074297,0.015849614384099354
PRE: SUMMARY: RESPONDENT 5 CATEGORY LEVEL OF EDUCATION: Less than high school credential,PRE: SUMMARY: RESPONDENT 5 CATEGORY LEVEL OF EDUCATION,Less than high school credential,0.5476747485633008,0.022961802914135368,0.3284540662635442,0.025220624550919484,0.313784181553174,0.03226599540898221,0.5803008656698532,0.031070370644243155,0.4809203339363364,0.02971916661400021,0.5397246427591584,0.029940904198603385,0.5152622734491441,0.02736661037438408,0.4984001218056882,0.03317690689442036,0.5300495876711546,0.03229433625254902,0.526481479212516,0.03148462009741858
PRE: SUMMARY: RESPONDENT 5 CATEGORY LEVEL OF EDUCATION: None,PRE: SUMMARY: RESPONDENT 5 CATEGORY LEVEL OF EDUCATION,None,0.536291544970673,0.0527211108038613,0.552809953336654,0.04863443442661213,0.606059741693458,0.045881669041920904,0.5862095702084141,0.0472996892985646,0.5314426017613909,0.04876186523966412,0.5764570939203391,0.050803082166911845,0.6164532947900294,0.053516275112515804,0.551878785694357,0.04412620515832105,0.5623547336740499,0.047863979325431356,0.4786039730187123,0.04816655080703618
"PRE: SUMMARY: RESPONDENT 5 CATEGORY LEVEL OF EDUCATION: Some post-high school, no bachelorâ€™s degree",PRE: SUMMARY: RESPONDENT 5 CATEGORY LEVEL OF EDUCATION,"Some post-high school, no bachelorâ€™s degree",0.5026065707593702,0.010807335120457019,0.468297654919975,0.010358941266706532,0.5091391061398473,0.010450080310108831,0.5208226404727024,0.01048101110025096,0.4501722745917806,0.010830091789098993,0.4678082467369495,0.010678739189324086,0.4468994826112913,0.010689008925347942,0.4656234616618875,0.010799208151722356,0.4665754988790233,0.01066291526533076,0.440662602728363,0.010507867669823577
PRE: SEXUAL ORIENTATION OF R [REVISED]: Bisexual,PRE: SEXUAL ORIENTATION OF R [REVISED],Bisexual,0.2095797709093412,0.0322154426343726,0.3499978887599927,0.03409636521833692,0.4888971168988239,0.036344910699756094,0.2341807287840154,0.03164063948618794,0.509889130970241,0.032531097799246095,0.4077245106396137,0.03187672205706584,0.4387399019390695,0.03507119482657117,0.5164302284130595,0.03442121762919604,0.3265327350763382,0.03610756286268849,0.5058440526274455,0.034943181796996375
PRE: SEXUAL ORIENTATION OF R [REVISED]: Heterosexual or straight,PRE: SEXUAL ORIENTATION OF R [REVISED],Heterosexual or straight,0.486853012830792,0.006460449919770255,0.548524877282235,0.006478023273222673,0.5011420455764637,0.006465384347442514,0.5278971227705708,0.006464747664193567,0.493383752977036,0.0065188011834276605,0.487277948089816,0.006497467384533107,0.4993982182936571,0.006492109464154197,0.4687749170537135,0.006493687678374565,0.4980028460898033,0.00647474610452269,0.4887655196191752,0.006469480834827073
PRE: SEXUAL ORIENTATION OF R [REVISED]: Homosexual or gay (or lesbian),PRE: SEXUAL ORIENTATION OF R [REVISED],Homosexual or gay (or lesbian),0.2231077042344716,0.029553899953642753,0.5273591173476265,0.04202924265594229,0.4764616372903342,0.0392921824689141,0.4845249569367557,0.03669014493037273,0.4725362628599605,0.03799853032782615,0.3830634597078973,0.038704680960407856,0.4668864732104927,0.039785832678511684,0.4924504259175899,0.0356150914144311,0.3970363879353339,0.04078376311584011,0.5629870077517115,0.0420170099354598
PRE: SEXUAL ORIENTATION OF R [REVISED]: None,PRE: SEXUAL ORIENTATION OF R [REVISED],None,0.4365199309350994,0.04072101581516203,0.5200187081842483,0.04413788367665604,0.4726031243707012,0.04816546442277879,0.503537679841898,0.044773712704668005,0.5412322350610739,0.041477724677199554,0.4578997497280885,0.046249392279769354,0.543947524717877,0.04580075274638781,0.4551480721901418,0.04912006512268284,0.458675340306473,0.04468407347887792,0.3640013214694556,0.05182668743873021
PRE: SEXUAL ORIENTATION OF R [REVISED]: Something else,PRE: SEXUAL ORIENTATION OF R [REVISED],Something else,0.3955880727511036,0.05191524890346171,0.3882027405238186,0.05233078473570767,0.5067139708073298,0.06189980211758709,0.4071380067383727,0.07094442682109979,0.6421866164573644,0.06126949533285201,0.5446966525273648,0.06552955322233338,0.570004552673208,0.05811127950156544,0.5979143356641944,0.06849871416956078,0.4030817782252331,0.06385711143792942,0.6142954976614274,0.05735447916458709
"PRE: SUMMARY: TOTAL (FAMILY) INCOME: $10,000-14,999",PRE: SUMMARY: TOTAL (FAMILY) INCOME,"$10,000-14,999",0.3683865181940748,0.025932281543474045,0.2213532114310237,0.029910935853217666,0.3142455003759924,0.03260154147945914,0.4463480021947094,0.037971691489923784,0.4265764696071898,0.032827155242853956,0.3589044910627034,0.0366558707235798,0.4008935472396394,0.032486368835724706,0.4124505900587462,0.03508659190846921,0.3508065014427693,0.03549163413743017,0.2800565834699473,0.03409077377981205
"PRE: SUMMARY: TOTAL (FAMILY) INCOME: $100,000-109,999",PRE: SUMMARY: TOTAL (FAMILY) INCOME,"$100,000-109,999",0.5373218953954503,0.027067825739600912,0.6606294636931748,0.024345110008021437,0.5828610799563042,0.02413907115412428,0.551248913275122,0.025329204265083553,0.544288361508921,0.02380179393593814,0.5030402976279327,0.025946133594690016,0.5743487616117672,0.02503401851849078,0.5314821535145279,0.024135457019077763,0.4773318733671443,0.023809644848365244,0.5753807510393235,0.02498027056406198
"PRE: SUMMARY: TOTAL (FAMILY) INCOME: $110,000-124,999",PRE: SUMMARY: TOTAL (FAMILY) INCOME,"$110,000-124,999",0.5116602843833592,0.03281553232456784,0.6711137053421329,0.02674301998980999,0.5754761067715728,0.027018062032508148,0.5243203167736173,0.030613476330288956,0.4914660291584722,0.029196233645383395,0.5086309411844847,0.028609481249336717,0.5075813634237167,0.032030068119064205,0.5055957780871864,0.028116493957398958,0.5540844512548138,0.02959999210078485,0.5577161343332404,0.029328761588895497
"PRE: SUMMARY: TOTAL (FAMILY) INCOME: $125,000-149,999",PRE: SUMMARY: TOTAL (FAMILY) INCOME,"$125,000-149,999",0.4740176731982387,0.03390545854093141,0.715318217505306,0.030139419776690036,0.6133676748906518,0.02723700831082292,0.4948926967875512,0.02787739130863548,0.529879642866125,0.028910336238279242,0.5327653211459699,0.028653414020573774,0.5323194800770534,0.02759190209227592,0.4842124345454646,0.028234251488607167,0.4837961221342893,0.028639776356068302,0.582506370592689,0.029683607982464638
"PRE: SUMMARY: TOTAL (FAMILY) INCOME: $15,000-19,999",PRE: SUMMARY: TOTAL (FAMILY) INCOME,"$15,000-19,999",0.3590245026383563,0.029908827240712896,0.2716963148027601,0.03296467514892325,0.3269943567325729,0.037367770304878804,0.4331180576160268,0.040055484107320835,0.3881883314854992,0.04062814457086721,0.3428577794349175,0.03802122833108193,0.3410967711429588,0.038191813703129546,0.3448626385997351,0.041807017355582905,0.3521795647120764,0.04245049586736831,0.3681940603426907,0.03896319051471197
"PRE: SUMMARY: TOTAL (FAMILY) INCOME: $150,000-174,999",PRE: SUMMARY: TOTAL (FAMILY) INCOME,"$150,000-174,999",0.4438162293758293,0.030382409010635852,0.712958290944657,0.0253025632306929,0.5557875688427477,0.026541278138589038,0.5099156499064771,0.026374682820590165,0.5355092075375307,0.026842408779840243,0.4809550914914665,0.025725448528359448,0.5239616565804818,0.027204468357420342,0.5086488495371905,0.026041752359360015,0.5163159800363185,0.027484624595462463,0.5410933263350726,0.025762408251293303
"PRE: SUMMARY: TOTAL (FAMILY) INCOME: $175,000-249,999",PRE: SUMMARY: TOTAL (FAMILY) INCOME,"$175,000-249,999",0.4317510586735229,0.02934055833127065,0.7605461354383941,0.022802722427251294,0.5652237241063326,0.025737026378523205,0.5088857942618698,0.02630234723363521,0.5512751054779593,0.025832384865505025,0.4552618306195872,0.02542806516975595,0.5377740099160184,0.027297460796653378,0.5555289412553701,0.024666621683508215,0.515103818681759,0.026250623993186138,0.5672925153417275,0.02643484736816864
"PRE: SUMMARY: TOTAL (FAMILY) INCOME: $20,000-24,999",PRE: SUMMARY: TOTAL (FAMILY) INCOME,"$20,000-24,999",0.3316932537445201,0.027569836397611718,0.2582545626204794,0.02913207184450113,0.3752209576454039,0.03430424866517589,0.4837024132725865,0.031956692800299766,0.3338050556259535,0.03208922897262972,0.3279182995837788,0.03339786707455694,0.3686979264823322,0.03231323904454841,0.2706012022618346,0.033514606355188686,0.3489466405638574,0.03420759977861939,0.3170886938318144,0.0322416245971711
"PRE: SUMMARY: TOTAL (FAMILY) INCOME: $25,000-29,999",PRE: SUMMARY: TOTAL (FAMILY) INCOME,"$25,000-29,999",0.4512987472908161,0.029905247367408315,0.4058256450496421,0.03164702472477513,0.4308107097238996,0.036945958955082174,0.5329998520927745,0.03543898201549547,0.4279913783449465,0.037885063136582346,0.4576597969113805,0.03313346091703169,0.4025231967403354,0.03588902341285068,0.4367386741773599,0.038188447896742715,0.4580128691636358,0.03499392444760726,0.4085779387264113,0.037146798480929374
"PRE: SUMMARY: TOTAL (FAMILY) INCOME: $250,000 or more",PRE: SUMMARY: TOTAL (FAMILY) INCOME,"$250,000 or more",0.4295185616740894,0.027931560902885524,0.7608061205059943,0.02484037907629111,0.5660113211574742,0.026539497550615493,0.5712692074128689,0.025130642168254204,0.5474146735877304,0.025600646493772198,0.4778104497549292,0.02780858329780788,0.6217234151050989,0.02608612264106311,0.5616640015766382,0.026318283446214914,0.5944224162474947,0.02540204118529553,0.6420593515148851,0.02649911733396241
"PRE: SUMMARY: TOTAL (FAMILY) INCOME: $30,000-34,999",PRE: SUMMARY: TOTAL (FAMILY) INCOME,"$30,000-34,999",0.4981432061382557,0.027285276836970577,0.4414614172992061,0.026649421189028463,0.4502483007783254,0.0328380044464575,0.5418733293462841,0.03231616190110861,0.5139702084492446,0.03329500195232708,0.5306351801318611,0.03216364333558968,0.5268740587357748,0.030908412774288897,0.4388230454437167,0.03335117243204696,0.5259175315053436,0.03313558388170582,0.4527644933566819,0.029622529526775607
"PRE: SUMMARY: TOTAL (FAMILY) INCOME: $35,000-39,999",PRE: SUMMARY: TOTAL (FAMILY) INCOME,"$35,000-39,999",0.4019270314886725,0.033552998681627144,0.4619227202317026,0.034320156620887166,0.4788788844967915,0.034973431791249315,0.5347154170432689,0.03826578434040709,0.4864637719191382,0.039239931214049076,0.4824190298278388,0.03568583091371678,0.4366264097953915,0.03863785703006325,0.4741868719608414,0.035024394282499,0.4511617136784239,0.03594745003408711,0.3661905609148928,0.0342319788318941
"PRE: SUMMARY: TOTAL (FAMILY) INCOME: $40,000-44,999",PRE: SUMMARY: TOTAL (FAMILY) INCOME,"$40,000-44,999",0.3273154192837434,0.02778781523210069,0.3847938792427715,0.029449104347004228,0.4003580938053516,0.031394996685058914,0.437481002833391,0.03196540520111763,0.3859373170470011,0.03161394138265082,0.3886310079858474,0.03165893443410463,0.3809577316587585,0.031873250779807454,0.3579610669890887,0.032787677216164005,0.3627415510580817,0.03248007947052751,0.3577949573307877,0.03247823777856539
"PRE: SUMMARY: TOTAL (FAMILY) INCOME: $45,000-49,999",PRE: SUMMARY: TOTAL (FAMILY) INCOME,"$45,000-49,999",0.4318450280514144,0.03553747541777765,0.4854288679185793,0.037296608531870376,0.4769185343124933,0.0358894459473408,0.4898638151749101,0.03984868417288943,0.4737954968578119,0.038949156511139886,0.4610435629451487,0.03736283976386084,0.4985703523301471,0.03896326769719989,0.4353979927069253,0.04146461541541677,0.405253669467952,0.03799093290427333,0.3733457665782737,0.037970568983949585
"PRE: SUMMARY: TOTAL (FAMILY) INCOME: $50,000-59,999",PRE: SUMMARY: TOTAL (FAMILY) INCOME,"$50,000-59,999",0.4798193726304584,0.02427785430988738,0.4572677242028672,0.02331878871308448,0.503265469634374,0.024786690237013794,0.5039489212249526,0.024117611819287506,0.4550103109836361,0.024995147255446548,0.5093850612991163,0.024282526770296485,0.4991836365237587,0.02491769092273285,0.4452374098502474,0.024622262174580672,0.4711920372626013,0.024030268818297795,0.4408820051187054,0.02419365970987343
"PRE: SUMMARY: TOTAL (FAMILY) INCOME: $60,000-64,999",PRE: SUMMARY: TOTAL (FAMILY) INCOME,"$60,000-64,999",0.4486467615417195,0.03039842337369512,0.514775685955746,0.03000812553820232,0.5062387495317575,0.029771940525711877,0.5040826822074724,0.03171347404994066,0.4520835295765815,0.03028863068915775,0.507474868746452,0.02997582489399055,0.488181960260994,0.03136143481911959,0.4491791778222302,0.032733884906328704,0.5073512901306935,0.030611653114471706,0.4316842149464449,0.03187669655149629
